Member State,Total population (2002),Annual Growth Rate (%) 1992-2002,Dependency ratio 1992,Dependency ratio 2002,Percentage of population aged 60+ (1992),Percentage of population aged 60+ (2002),Total Fertility Rate 1992,Total Fertility Rate 2002,LIFE EXPECTANCY AT BIRTH BOTH SEXES 2002 (YEARS),LIFE EXPECTANCY AT BIRTH MALES 2002 (years) ,LIFE EXPECTANCY AT BIRTH MALES 2002 (years) Lower Bound Uncertainty Interval,LIFE EXPECTANCY AT BIRTH MALES 2002 (years) Upper Bound Uncertainty Interval,LIFE EXPECTANCY AT BIRTH FEMALES 2002 (years) ,LIFE EXPECTANCY AT BIRTH FEMALES 2002 (years) Lower Bound Uncertainty Interval,LIFE EXPECTANCY AT BIRTH FEMALES 2002 (years) Upper Bound Uncertainty Interval,PROBABILITY OF DYING UNDER AGE OF 5 MALES 2002 (per 1000) ,PROBABILITY OF DYING UNDER AGE OF 5 MALES 2002 Upper Bound Uncertainty Interval (per 1000) ,PROBABILITY OF DYING UNDER AGE OF 5 MALES 2002 Lower Bound Uncertainty Interval (per 1000) ,PROBABILITY OF DYING UNDER AGE OF 5 FEMALES 2002 (per 1000) ,PROBABILITY OF DYING UNDER AGE OF 5 FEMALES 2002 Upper Bound Uncertainty Interval (per 1000) ,PROBABILITY OF DYING UNDER AGE OF 5 FEMALES 2002 Lower Bound Uncertainty Interval (per 1000) ,PROBABILITY OF DYING AGE 15-59 MALES 2002 (per 1000) ,PROBABILITY OF DYING AGE 15-59 MALES 2002 Upper Bound Uncertainty Interval (per 1000) ,PROBABILITY OF DYING AGE 15-59 MALES 2002 Lower Bound Uncertainty Interval (per 1000) ,PROBABILITY OF DYING AGE 15-59 FEMALES 2002 (per 1000) ,PROBABILITY OF DYING AGE 15-59 FEMALES 2002 Upper Bound Uncertainty Interval (per 1000) ,PROBABILITY OF DYING AGE 15-59 FEMALES 2002 Lower Bound Uncertainty Interval (per 1000) 
New Zealand,3845.679,1.1,53,53,15.3,15.9,2.1,2,78.9,76.6,76.2,77.1,81.2,80.8,81.6,7,6,8,6,4,7,98,94,104,63,59,67
Nicaragua,5335.045,2.8,95,82,4.4,4.7,4.8,3.8,70.1,67.9,67.2,68.6,72.4,71.6,73.2,38,31,45,32,27,38,213,199,226,143,126,163
Niger,11544.151,3.5,108,108,3.6,3.3,8,8,42.6,42.6,31.9,50.6,42.7,30.9,51.6,249,199,299,256,206,307,497,327,755,443,232,744
Nigeria,120911.196,2.8,96,91,4.7,4.8,6.4,5.5,48.8,48,41.2,54.6,49.6,40.7,57.1,183,162,205,181,159,202,453,287,632,392,217,612
Niue,1.969,-1.2,71,65,6.2,7.2,3.6,2.9,70.3,67.6,63.9,70.8,73.3,70.4,76.1,38,14,91,24,12,48,191,124,261,132,89,182
Norway,4513.682,0.5,55,54,20.6,19.6,1.9,1.8,79.1,76.4,75.8,76.9,81.7,81.4,81.9,5,4,6,4,4,4,100,93,106,60,57,63
Oman,2768.286,3.3,82,65,3,3.5,6.5,5,73.1,71,67.1,74.5,76.3,73.8,78.7,15,13,18,14,12,16,165,105,249,93,60,136
Pakistan,149910.783,2.5,86,82,5.5,5.7,5.9,5.1,61.4,61.1,59.3,62.9,61.6,59.7,63.7,105,89,120,115,98,134,227,201,254,201,176,225
Palau,20.068,2.3,70,68,6.2,7,2.8,2.4,68.5,66.4,65.9,66.9,70.9,70,71.9,24,17,30,22,16,27,236,224,246,202,184,223
Panama,3063.523,2,65,59,7.3,8.3,2.9,2.7,75.4,72.8,72,73.8,78.2,77.4,78.9,25,23,28,21,19,23,146,132,159,84,76,94
Papua New Guinea,5586.157,2.6,79,77,4.2,4,5.1,4.1,59.8,58.4,56.5,60.4,61.5,59.7,63.4,98,78,117,92,73,108,311,284,337,249,227,272
Paraguay,5740.092,2.5,84,74,5.3,5.5,4.6,3.9,71.7,68.7,67.9,69.7,74.7,74,75.4,37,31,42,26,22,31,171,155,189,120,109,132
Peru,26766.69,1.7,71,63,6.2,7.4,3.7,2.9,69.7,67.5,66.4,68.5,72,71.1,72.9,38,33,44,34,29,39,205,182,229,144,127,163
Philippines,78580.225,2.1,77,67,5,5.7,4.2,3.2,68.3,65.1,64.3,65.8,71.7,70.9,72.5,39,33,45,33,28,38,258,238,279,133,118,151
Poland,38622.082,0.1,54,44,15.2,16.6,1.9,1.3,74.7,70.6,70.2,71,78.7,78.4,79,9,8,10,8,7,9,204,194,215,82,78,86
Portugal,10048.594,0.2,49,48,19.5,21.1,1.5,1.5,77.1,73.6,73.1,74,80.5,80.3,80.8,7,6,7,5,5,6,154,147,163,65,62,68
Qatar,601.01,2,39,39,2.1,3.1,4.2,3.3,74.3,74.8,73.9,75.8,73.8,71.8,75.5,14,11,18,12,10,14,93,84,101,77,61,98
Republic of Korea,47430.218,0.8,43,39,8.2,11.8,1.7,1.4,75.5,71.8,71.3,72.3,79.4,79.2,79.6,8,7,9,7,7,8,166,156,176,61,59,63
Republic of Moldova,4270.386,-0.2,57,45,12.9,13.8,2.2,1.4,67.8,64,63.3,64.8,71.6,71.1,72.2,31,23,39,23,17,29,294,274,316,144,132,156
Romania,22387.39,-0.3,50,45,16.3,18.9,1.6,1.3,71.4,68,67.2,68.9,75,74.2,75.7,22,21,24,19,17,20,235,212,259,108,96,121
Russian Federation,144081.588,-0.3,50,42,16.3,18.3,1.6,1.2,64.8,58.4,58.2,61.5,72.1,71.4,72.6,21,20,22,16,15,17,464,413,510,168,150,187
Rwanda,8272.456,3.2,98,91,3.8,4,6.7,5.8,44.4,41.9,36.5,48.1,46.8,39.7,53.9,186,170,203,170,157,184,605,431,774,474,283,695
Saint Kitts and Nevis,41.841,0,63,56,9.2,10.5,2.7,2.4,70.4,68.7,67.8,69.5,72.2,71,73.3,20,17,23,24,18,30,206,188,225,148,123,175
Saint Lucia,148.011,0.9,75,57,8.6,7.8,3.2,2.3,72.2,69.8,68.7,70.9,74.4,73,75.7,14,11,17,15,12,20,211,185,238,145,114,177
Saint Vincent and the Grenadines,119.144,0.6,79,61,8.7,9.2,2.9,2.2,69.8,67.8,66.5,69.1,71.9,70.6,73.2,25,21,30,20,13,30,238,207,272,184,160,207
Samoa,176.296,0.8,81,81,6.3,6.5,4.7,4.2,68.2,66.8,66,67.7,69.7,68.6,70.8,27,22,31,21,16,26,235,219,251,203,186,221
San Marino,27.336,1.4,45,49,21.7,24.5,1.3,1.2,80.6,77.2,75.8,78.6,84,82.5,85.7,5,4,9,3,3,3,85,72,99,31,25,37
Sao Tome and Principe,156.664,2.6,104,83,6.6,6.4,5,4,62.7,61.7,54.2,68.8,63.6,54.5,70.6,80,62,98,82,60,104,259,108,454,217,95,414
Saudi Arabia,23519.774,3,80,72,3.4,4.3,5.8,4.6,70.8,68.4,64,72.3,73.9,70.9,76.5,30,23,37,25,19,31,192,120,298,112,74,163
Senegal,9854.662,2.4,95,85,4.1,4,6.1,5,55.8,54.3,46.7,60.6,57.3,48.3,64.5,139,122,157,129,112,145,349,187,560,284,131,512
Serbia and Montenegro,10535.265,0.2,50,49,16,18.4,2,1.7,72.3,69.7,69.3,70.1,74.9,74.5,75.2,17,16,19,13,12,15,186,177,195,98,93,103
Seychelles,80.294,1,52,46,8.4,9,2.1,1.8,71.5,67,66.1,67.9,77.2,76.1,78.3,15,11,18,10,8,13,243,219,268,113,91,138
Sierra Leone,4764.42,1.5,87,89,5,4.7,6.5,6.5,34,32.4,22.7,39.9,35.7,25,45.4,332,286,380,303,255,351,682,497,898,569,323,836
Singapore,4183.273,2.8,38,40,8.7,11.1,1.8,1.4,79.6,77.4,76.4,78.4,81.7,81.3,82.1,4,4,4,3,3,3,90,80,101,53,49,56
Slovakia,5398.182,0.2,54,43,15,15.5,1.9,1.3,74,69.8,69.2,70.3,78.3,77.9,78.7,9,8,11,7,6,9,206,195,219,79,73,84
Slovenia,1985.892,0.2,44,42,17.4,19.8,1.4,1.2,76.7,72.8,72.3,73.2,80.5,80.2,80.8,5,4,6,4,4,5,163,154,172,71,67,76
Solomon Islands,463.471,3.2,93,84,4.4,4.4,5.6,4.5,65.4,63.6,61.5,66.2,67.4,65.7,69,86,73,99,75,64,86,199,160,238,147,127,168
Somalia,9480.071,2.8,102,101,4.2,3.8,7.3,7.3,44.3,43,35.9,48.5,45.7,35.3,53,218,198,239,223,199,245,534,388,738,418,232,676
South Africa,44759.191,1.5,70,59,5.2,6.1,3.4,2.6,50.7,48.8,45.5,52,52.6,50,55,86,61,108,81,55,105,598,404,818,482,321,653
Spain,40977.309,0.4,48,46,20,21.6,1.3,1.2,79.6,76.1,75.6,76.7,83,82.8,83.3,5,5,6,5,4,5,120,111,128,47,45,49
Sri Lanka,18909.688,0.9,58,47,8.8,10.2,2.4,2,70.3,67.2,65.1,69.6,74.3,73.3,75.4,20,17,23,16,14,19,238,186,286,121,106,136
Sudan,32878.228,2.3,81,76,5.1,5.6,5.3,4.4,57.1,54.9,48.3,62.5,59.3,50.6,65.6,111,104,120,106,97,113,379,202,559,278,148,495
Suriname,432.066,0.7,66,58,7.1,8,2.5,2.5,67.6,64.4,63,65.9,70.8,69.6,72.3,33,29,37,28,24,31,281,247,313,164,137,187
Swaziland,1069.279,1.9,97,89,4.5,5.1,5.7,4.6,38.8,36.9,34.2,40.7,40.4,35.8,44.5,150,132,169,142,124,159,818,743,877,707,627,804
Sweden,8867.321,0.2,56,55,22.4,22.9,2,1.6,80.4,78,77.7,78.3,82.6,82.4,82.9,4,4,5,3,3,3,83,80,85,53,51,55
Switzerland,7171.404,0.3,46,49,19.4,22.1,1.5,1.4,80.6,77.7,77.2,78.2,83.3,83.1,83.6,6,5,7,5,4,6,92,87,98,51,49,53
Syrian Arab Republic,17381.154,2.6,98,70,4.2,4.6,4.8,3.4,71.2,68.8,68,69.7,73.6,73,74.3,26,24,29,20,18,22,190,175,205,127,117,137
Tajikistan,6195.021,1.2,89,73,6.3,6.7,4.5,3.1,63.7,61,59.2,62.7,66.5,64.8,68,68,47,90,57,40,72,283,231,339,172,137,216
Thailand,62193.35,1.1,53,46,6.7,8.8,2.1,1.9,69.3,66,64.8,67.1,72.7,71.7,73.8,32,28,37,26,22,30,279,250,311,153,131,178
The former Yugoslav Republic of Macedonia,2045.62,0.6,50,48,12.2,14.7,1.8,1.9,72,69,68.3,69.7,75.1,74.4,75.8,17,16,19,15,13,16,195,180,212,89,81,99
Timor-Leste,738.591,-0.7,77,73,3.6,5.2,4.8,3.9,57.5,54.8,46.4,62.1,60.5,50.5,67.7,142,108,178,108,81,134,326,162,533,242,111,463
Togo,4800.859,2.9,94,89,4.8,4.9,6.2,5.4,51.7,50,43.4,55.7,53.3,46,59.8,149,131,166,127,110,143,459,316,636,394,265,569
Tonga,102.549,0.3,78,74,7.4,8.2,4.5,3.8,70.7,70,69.5,70.5,71.4,70.8,72,23,20,27,15,12,18,171,166,177,181,174,188
Trinidad and Tobago,1298.276,0.5,64,43,8.8,10,2.2,1.6,69.9,67.1,66.1,68.1,72.8,72.2,73.4,24,20,28,18,15,21,246,221,272,153,138,169
Tunisia,9728.283,1.3,71,52,7.4,8.4,3.2,2,71.6,69.5,68.7,70.3,73.9,73,74.7,31,28,34,24,21,26,167,154,180,115,102,128
Turkey,70318.341,1.6,67,57,7.2,8.2,3.2,2.5,70,67.9,67.1,68.8,72.2,71.1,73.4,44,40,48,42,38,46,177,162,192,112,94,130
Turkmenistan,4794.092,2.1,79,64,6.2,6.5,4.1,2.7,62.7,58.8,58.3,59.3,66.9,66.1,67.7,63,56,69,47,42,52,369,349,385,193,172,215
